OBJECTID,GEOID10,TRFIPS,CFIPS,SFIPS,CSA,CSA_Name,CBSA,CBSA_Name,CBSA_EMP,CBSA_POP,CBSA_WRK,COUNTHU10,TOTPOP10,HH,P_WRKAGE,AUTOOWN0,PCT_AO0,AUTOOWN1,PCT_AO1,AUTOOWN2P,PCT_AO2P,WORKERS,R_LOWWAGEWK,R_MEDWAGEWK,R_HIWAGEWK,R_PCTLOWWAGE,EMPTOT,E5_RET10,E5_OFF10,E5_IND10,E5_SVC10,E5_ENT10,E8_RET10,E8_OFF10,E8_IND10,E8_SVC10,E8_ENT10,E8_ED10,E8_HLTH10,E8_PUB10,E_FEDT10,E_FEDRET10,E_FEDOFF10,E_FEDIND10,E_FEDSVC10,E_FEDENT10,E_LOWWAGEW,E_MEDWAGEW,E_HIWAGEWK,E_PCTLOWWA,AC_TOT,AC_WATER,AC_LAND,AC_UNPR,D1A,D1B,D1C,D1C5_Ret10,D1C5_Off10,D1C5_Ind10,D1C5_Svc10,D1C5_Ent10,D1C8_Ret10,D1C8_Off10,D1C8_Ind10,D1C8_Svc10,D1C8_Ent10,D1C8_Ed10,D1C8_Hlth10,D1C8_Pub10,D1D,D1_flag,D2A_JPHH,D2B_E5MIX,D2B_E5MIXA,D2B_E8MIX,D2B_E8MIXA,D2A_EPHHM,D2C_TRPMX1,D2C_TRPMX2,D2C_TRIPEQ,D2R_JOBPOP,D2R_WRKEMP,D2A_WRKEMP,D2C_WREMIX,D3a,D3aao,D3amm,D3apo,D3b,D3bao,D3bmm3,D3bmm4,D3bpo3,D3bpo4,D4a,D4b025,D4b050,D4c,D4d,D5ar,D5ae,D5br,D5br_Flag,D5be,D5be_Flag,D5cr,D5cri,D5ce,D5cei,D5dr,D5dri,D5de,D5dei,Shape_Length,Shape_Area
174459,440090512012,051201,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,1130.000000000000000,2975.000000000000000,1065.000000000000000,0.723690000000000,23.000000000000000,0.020850000000000,165.000000000000000,0.146820000000000,940.000000000000000,0.832310000000000,1426.000000000000000,427.000000000000000,415.000000000000000,584.000000000000000,0.299430000000000,529.000000000000000,0.056958992875658,0.175344350617223,0.147423275678175,0.189863309585528,0.021220016953677,0.056958992875658,0.002233685995124,0.147423275678175,0.035738975921982,0.021220016953677,0.000000000000000,0.154124333663547,0.173110664622099,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,170.000000000000000,210.000000000000000,149.000000000000000,0.320000000000000,968.110000000000014,40.490000000000002,927.620000000000005,895.3809814,1.262032269280000,3.322607080640000,0.590809796859000,0.056958992875659,0.175344350617223,0.147423275678175,0.189863309585528,0.021220016953677,0.056958992875659,0.002233685995124,0.147423275678175,0.035738975921982,0.021220016953677,0.000000000000000,0.154124333663547,0.173110664622099,1.852842066140000,0,0.496714000000000,0.880251000000000,0.880251000000000,0.818326000000000,0.765777000000000,0.617079000000000,0.616315000000000,0.650168000000000,0.622073000000000,0.092253000000000,0.550380000000000,2.695652000000000,0.183480000000000,9.2467327,0.000000000000000,2.045552659034729,7.201180279254913,32.8973198,0.000000000000000,13.797043955326082,0.688808548450470,32.426184242963792,1.377617096900940,1008.149334355245514,0.000000000000000,0.000000000000000,33.333333333333336,22.997973333333334,15971.905000000000655,28826.020000000000437,766.860000000000014,1,910.200000000000045,1,0.000184000000000,0.100000000000000,0.010000000000000,0.120000000000000,0.000158799104869,0.020000000000000,0.000301341445386,0.050000000000000,0.092359340373330,0.000422150401609
174460,440090512023,051202,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,379.000000000000000,866.000000000000000,361.000000000000000,0.780600000000000,8.000000000000000,0.023590000000000,73.000000000000000,0.194690000000000,296.000000000000000,0.781710000000000,474.000000000000000,126.000000000000000,161.000000000000000,187.000000000000000,0.265820000000000,299.000000000000000,0.054311814992233,0.608292327913014,0.103192448485243,0.841833132379618,0.016293544497670,0.054311814992233,0.000000000000000,0.103192448485243,0.695191231900588,0.016293544497670,0.027155907496117,0.119485992982914,0.608292327913014,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,114.000000000000000,100.000000000000000,85.000000000000000,0.380000000000000,184.122360229000009,0.000000000000000,184.122360229000009,184.1219940,2.058413760980000,4.703393976270000,1.623920091110000,0.054311814992233,0.608292327913014,0.103192448485243,0.841833132379618,0.016293544497670,0.054311814992233,0.000000000000000,0.103192448485243,0.695191231900588,0.016293544497670,0.027155907496117,0.119485992982913,0.608292327913014,3.682333852090000,0,0.828255000000000,0.648274000000000,0.648274000000000,0.681620000000000,0.637849000000000,0.648190000000000,0.555452000000000,0.604651000000000,0.754532000000000,0.171671000000000,0.784640000000000,1.585284000000000,0.556948000000000,16.0699997,0.000000000000000,3.130000000000000,12.940000000000000,77.6486664,0.000000000000000,33.020000000000003,3.470000000000000,72.989999999999995,3.470000000000000,447.102519407078944,0.000000000000000,0.000000000000000,29.333333333333332,101.961173333333321,17047.548800000000483,30474.593899999999849,1395.880000000000109,1,748.139999999999986,0,0.000197000000000,0.100000000000000,0.020000000000000,0.120000000000000,0.000289054296575,0.030000000000000,0.000247687114464,0.040000000000000,0.041281246421539,0.000080276389448
174461,440090509011,050901,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,654.000000000000000,1615.000000000000000,615.000000000000000,0.760370000000000,39.000000000000000,0.060700000000000,141.000000000000000,0.215650000000000,473.000000000000000,0.723640000000000,854.000000000000000,208.000000000000000,307.000000000000000,339.000000000000000,0.243550000000000,86.000000000000000,0.007582315512786,0.002527438504262,0.022115086912292,0.005054877008524,0.017060209903768,0.007582315512786,0.002527438504262,0.022115086912292,0.005054877008524,0.017060209903768,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,29.000000000000000,38.000000000000000,19.000000000000000,0.330000000000000,1679.470000000000027,63.640000000000001,1615.829999999999927,1582.6300049,0.413237245998000,1.020455890350000,0.054340065987500,0.007582315512786,0.002527438504262,0.022115086912292,0.005054877008524,0.017060209903768,0.007582315512786,0.002527438504262,0.022115086912292,0.005054877008524,0.017060209903768,0.000000000000000,0.000000000000000,0.000000000000000,0.467577311986000,0,0.139837000000000,0.849997000000000,0.849997000000000,0.849997000000000,0.657877000000000,0.301416000000000,0.398513000000000,0.419145000000000,0.057573000000000,0.028550000000000,0.186871000000000,9.930232999999999,0.000132000000000,4.7707787,0.218270916938782,2.369798526763916,2.182709169387818,14.7789364,0.000000000000000,9.894948234558106,1.579865684509277,7.525149707794189,1.579865684509277,-99999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20183.320700000000215,37309.080900000000838,0.000000000000000,0,0.000000000000000,0,0.000233000000000,0.120000000000000,0.020000000000000,0.150000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.151513362405181,0.000731888168323
174462,440090510001,051000,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,552.000000000000000,437.000000000000000,189.000000000000000,0.874140000000000,19.000000000000000,0.034480000000000,82.000000000000000,0.149420000000000,450.000000000000000,0.816090000000000,174.000000000000000,47.000000000000000,52.000000000000000,75.000000000000000,0.270110000000000,80.000000000000000,0.000966949660601,0.013537295248409,0.003867798642403,0.006768647624205,0.052215281672436,0.000966949660601,0.013537295248409,0.003867798642403,0.005801697963604,0.052215281672436,0.000000000000000,0.000966949660601,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,29.000000000000000,24.000000000000000,27.000000000000000,0.360000000000000,3961.639999999999873,2750.639999999999873,1211.000000000000000,1034.1800537,0.533758327019000,0.422558675557000,0.077356279278200,0.000966949660601,0.013537295248409,0.003867798642403,0.006768647624205,0.052215281672436,0.000966949660601,0.013537295248409,0.003867798642403,0.005801697963604,0.052215281672436,0.000000000000000,0.000966949660601,0.000000000000000,0.611114606298000,0,0.423280000000000,0.613907000000000,0.613907000000000,0.571467000000000,0.492407000000000,0.503687000000000,0.518561000000000,0.570550000000000,0.815664000000000,0.094848000000000,0.639972000000000,2.175000000000000,0.308819000000000,8.1784477,0.000000000000000,2.453534245491028,5.724913239479065,26.7501316,0.000000000000000,15.048343372344970,0.523420639038086,21.133108301162718,2.093682556152344,-99999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10156.659200000000055,19319.736700000001292,0.000000000000000,0,0.000000000000000,0,0.000117000000000,0.060000000000000,0.010000000000000,0.080000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.221373952720229,0.001206679598032
174463,440090510004,051000,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,497.000000000000000,226.000000000000000,129.000000000000000,0.871680000000000,53.000000000000000,0.108100000000000,228.000000000000000,0.459450000000000,214.000000000000000,0.432430000000000,89.000000000000000,25.000000000000000,28.000000000000000,36.000000000000000,0.280890000000000,44.000000000000000,0.000000000000000,0.002808602186778,0.042129032801665,0.019660215307444,0.058980645922331,0.000000000000000,0.002808602186778,0.042129032801665,0.019660215307444,0.058980645922331,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,15.000000000000000,18.000000000000000,11.000000000000000,0.340000000000000,1243.259999999999991,612.159999999999968,631.100000000000023,356.0490112,1.395874644590000,0.634743802166000,0.123578439360000,0.000000000000000,0.002808602186778,0.042129032801665,0.019660215307444,0.058980645922331,0.000000000000000,0.002808602186778,0.042129032801665,0.019660215307444,0.058980645922331,0.000000000000000,0.000000000000000,0.000000000000000,1.519453083950000,0,0.341085000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.525896000000000,0.598977000000000,0.657938000000000,0.793976000000000,0.100567000000000,0.671963000000000,2.022727000000000,0.359613000000000,6.4418640,0.000000000000000,2.718584740161896,3.723279100656509,16.1842270,0.000000000000000,7.091960191726685,2.009388720989227,5.062871581315994,6.067565941810608,-99999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,8994.930800000000090,17456.746299999998882,0.000000000000000,0,0.000000000000000,0,0.000104000000000,0.050000000000000,0.010000000000000,0.070000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.130758912650650,0.000460816159053
174464,440090510003,051000,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,420.000000000000000,184.000000000000000,108.000000000000000,0.945650000000000,77.000000000000000,0.184390000000000,160.000000000000000,0.382970000000000,181.000000000000000,0.432620000000000,76.000000000000000,13.000000000000000,22.000000000000000,41.000000000000000,0.171050000000000,73.000000000000000,0.054096088176624,0.094668154309092,0.000000000000000,0.094668154309092,0.250194407816885,0.054096088176624,0.094668154309092,0.000000000000000,0.081144132264936,0.250194407816885,0.006762011022078,0.006762011022078,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,35.000000000000000,28.000000000000000,10.000000000000000,0.470000000000000,196.319999999999993,42.729999999999997,153.590000000000003,147.8849945,2.840041218340000,1.244208533750000,0.493626211759000,0.054096088176624,0.094668154309092,0.000000000000000,0.094668154309092,0.250194407816885,0.054096088176624,0.094668154309092,0.000000000000000,0.081144132264936,0.250194407816885,0.006762011022078,0.006762011022078,0.000000000000000,3.333667430100000,0,0.675926000000000,0.880147000000000,0.758117000000000,0.735470000000000,0.633721000000000,0.724747000000000,0.740246000000000,0.740246000000000,0.624782000000000,0.194772000000000,0.991460000000000,1.041096000000000,0.959737000000000,17.9460430,0.000000000000000,5.790283398628235,12.155760512351989,86.1092606,0.000000000000000,62.491601624488830,8.321135745048522,41.656807055473330,8.321135745048522,-99999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,10559.034200000000055,20372.861899999999878,0.000000000000000,0,0.000000000000000,0,0.000122000000000,0.060000000000000,0.010000000000000,0.080000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.041408494261077,0.000076146977869
174465,440090510005,051000,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,403.000000000000000,410.000000000000000,193.000000000000000,0.868290000000000,20.000000000000000,0.050420000000000,125.000000000000000,0.310920000000000,257.000000000000000,0.638650000000000,142.000000000000000,40.000000000000000,40.000000000000000,62.000000000000000,0.281690000000000,66.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.015055479441743,0.183676849189262,0.000000000000000,0.000000000000000,0.000000000000000,0.012044383553394,0.183676849189262,0.000000000000000,0.003011095888349,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20.000000000000000,30.000000000000000,16.000000000000000,0.300000000000000,549.500000000000000,210.330000000000013,339.160000000000025,332.1050110,1.213471491350000,1.234549159940000,0.198732303795000,0.000000000000000,0.000000000000000,0.000000000000000,0.015055479441743,0.183676849189262,0.000000000000000,0.000000000000000,0.000000000000000,0.012044383553394,0.183676849189262,0.000000000000000,0.003011095888349,0.000000000000000,1.412203795150000,0,0.341969000000000,0.387051000000000,0.166694000000000,0.278709000000000,0.147248000000000,0.578859000000000,0.733828000000000,0.733828000000000,0.789954000000000,0.083883000000000,0.644706000000000,2.151515000000000,0.316157000000000,10.4177532,0.000000000000000,0.534659167528152,9.883093702793120,33.9559593,0.000000000000000,1.879407982826233,1.879407982826233,37.733975793123243,5.654425741434098,-99999.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,9359.177799999999479,18680.203600000000733,0.000000000000000,0,0.000000000000000,0,0.000108000000000,0.050000000000000,0.010000000000000,0.070000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.086906759506464,0.000239202233386
174466,440090512021,051202,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,643.000000000000000,1289.000000000000000,583.000000000000000,0.819230000000000,22.000000000000000,0.034710000000000,276.000000000000000,0.429750000000000,344.000000000000000,0.535530000000000,747.000000000000000,216.000000000000000,216.000000000000000,315.000000000000000,0.289150000000000,2022.000000000000000,0.407923014797476,0.312102172395384,0.273773835434548,3.920441323422720,0.621466606436423,0.407923014797476,0.312102172395384,0.273773835434548,0.427087183277894,0.621466606436423,0.002737738354345,3.490616401790480,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,610.000000000000000,780.000000000000000,632.000000000000000,0.300000000000000,444.430000000000007,79.170000000000002,365.265350341999977,365.2650146,1.760364073400000,3.528941353990000,5.535701642950000,0.407923014797476,0.312102172395384,0.273773835434548,3.920441323422720,0.621466606436423,0.407923014797476,0.312102172395384,0.273773835434548,0.427087183277894,0.621466606436423,0.002737738354345,3.490616401790481,0.000000000000000,7.296065716350000,0,3.468268000000000,0.616896000000000,0.616896000000000,0.637602000000000,0.596658000000000,0.726844000000000,0.541067000000000,0.591216000000000,0.410911000000000,0.598062000000000,0.530456000000000,0.369436000000000,0.532292000000000,16.4015465,1.654755392074585,3.102666360139847,11.644124339818955,70.1117935,4.818258347511292,28.033503112792967,1.752093944549560,56.067006225585935,12.264657611846923,412.454761243312930,0.000000000000000,0.000000000000000,40.000000000000000,70.085973333333328,19397.667300000000978,33636.663099999997939,1446.279999999999973,1,881.320000000000050,1,0.000224000000000,0.120000000000000,0.020000000000000,0.140000000000000,0.000299491562303,0.030000000000000,0.000291777956956,0.050000000000000,0.070272448754764,0.000193752188782
174467,440090512024,051202,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,794.000000000000000,1224.000000000000000,697.000000000000000,0.883980000000000,65.000000000000000,0.082230000000000,369.000000000000000,0.465460000000000,359.000000000000000,0.452300000000000,241.000000000000000,80.000000000000000,70.000000000000000,91.000000000000000,0.331950000000000,1535.000000000000000,0.329255357370762,0.055769637079087,0.023594846456537,0.629553403181229,0.608103542766195,0.329255357370762,0.048262185933825,0.023594846456537,0.262760790084159,0.608103542766195,0.019304874373530,0.347487738723540,0.007507451145262,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,811.000000000000000,474.000000000000000,250.000000000000000,0.520000000000000,994.370000000000005,7.570000000000000,986.789999999999964,932.4069824,0.851559474531000,1.312731482150000,1.646276817890000,0.329255357370762,0.055769637079087,0.023594846456537,0.629553403181229,0.608103542766195,0.329255357370762,0.048262185933825,0.023594846456537,0.262760790084159,0.608103542766195,0.019304874373530,0.347487738723540,0.007507451145262,2.497836292420000,0,2.202296000000000,0.766029000000000,0.766029000000000,0.746364000000000,0.746364000000000,0.819746000000000,0.709405000000000,0.786341000000000,0.429467000000000,0.508630000000000,0.266002000000000,0.157003000000000,0.430419000000000,6.6406212,1.511522233486176,1.864210754632950,3.264888024330139,22.6382999,2.428512388467789,7.456843018531799,0.967374229431152,19.942016667127607,3.395886617898941,-99999.000000000000000,0.000000000000000,0.000000000000000,30.666666666666668,19.889408000000000,21905.018499999998312,38043.099600000001374,0.000000000000000,0,0.000000000000000,0,0.000253000000000,0.130000000000000,0.020000000000000,0.160000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.103721697640841,0.000433629246201
174468,440090515043,051504,009,44,148,"Boston-Worcester-Manchester, MA-RI-NH",39300.000000000000000,"Providence-New Bedford-Fall River, RI-MA",435352.000000000000000,1600852.000000000000000,425371.000000000000000,718.000000000000000,928.000000000000000,424.000000000000000,0.884690000000000,66.000000000000000,0.092400000000000,176.000000000000000,0.246400000000000,474.000000000000000,0.661190000000000,292.000000000000000,90.000000000000000,85.000000000000000,117.000000000000000,0.308210000000000,63.000000000000000,0.025549844262086,0.020904418032616,0.048776975409436,0.006968139344205,0.044131549179966,0.025549844262086,0.018581704917880,0.048776975409436,0.004645426229470,0.044131549179966,0.000000000000000,0.002322713114735,0.002322713114735,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,31.000000000000000,21.000000000000000,11.000000000000000,0.490000000000000,982.149999999999977,471.060000000000002,511.089999999999975,430.5310059,1.667706102280000,2.155475296530000,0.146330758278000,0.025549844262086,0.020904418032616,0.048776975409436,0.006968139344205,0.044131549179966,0.025549844262086,0.018581704917880,0.048776975409436,0.004645426229470,0.044131549179966,0.000000000000000,0.002322713114735,0.002322713114735,1.814036860550000,0,0.148585000000000,0.904294000000000,0.904294000000000,0.789115000000000,0.738442000000000,0.320049000000000,0.399135000000000,0.422434000000000,0.059617000000000,0.036255000000000,0.361751000000000,4.634921000000000,0.026386000000000,14.8353481,2.536613945960999,0.883971526622772,11.414762756824494,64.7006836,1.864026914834976,10.626875091791154,1.249090200662613,78.884850364923466,3.747270601987839,720.779959514722350,0.000000000000000,0.000000000000000,34.666666666666664,43.410560000000004,12480.941999999999098,23039.430700000000797,583.799999999999955,1,363.589999999999975,0,0.000144000000000,0.070000000000000,0.010000000000000,0.090000000000000,0.000120891347785,0.010000000000000,0.000120375894204,0.020000000000000,0.091179538107957,0.000427880611132
